timeObserved,stationId,stationName,mean_wind_speed
2020-01-01 00:00:00+00:00,06019,Silstrup,6.3
2020-01-01 01:00:00+00:00,06019,Silstrup,7.0
2020-01-01 02:00:00+00:00,06019,Silstrup,8.2
2020-01-01 03:00:00+00:00,06019,Silstrup,8.0
2020-01-01 04:00:00+00:00,06019,Silstrup,8.6
2020-01-01 05:00:00+00:00,06019,Silstrup,8.1
2020-01-01 06:00:00+00:00,06019,Silstrup,9.6
2020-01-01 07:00:00+00:00,06019,Silstrup,9.1
2020-01-01 08:00:00+00:00,06019,Silstrup,9.3
2020-01-01 09:00:00+00:00,06019,Silstrup,9.0
2020-01-01 10:00:00+00:00,06019,Silstrup,9.0
2020-01-01 11:00:00+00:00,06019,Silstrup,9.9
2020-01-01 12:00:00+00:00,06019,Silstrup,9.2
2020-01-01 13:00:00+00:00,06019,Silstrup,9.2
2020-01-01 14:00:00+00:00,06019,Silstrup,9.4
2020-01-01 15:00:00+00:00,06019,Silstrup,8.7
2020-01-01 16:00:00+00:00,06019,Silstrup,9.0
2020-01-01 17:00:00+00:00,06019,Silstrup,8.5
2020-01-01 18:00:00+00:00,06019,Silstrup,8.9
2020-01-01 19:00:00+00:00,06019,Silstrup,8.8
2020-01-01 20:00:00+00:00,06019,Silstrup,8.7
2020-01-01 21:00:00+00:00,06019,Silstrup,8.7
2020-01-01 22:00:00+00:00,06019,Silstrup,9.0
2020-01-01 23:00:00+00:00,06019,Silstrup,9.5
2020-01-02 00:00:00.001000+01:00,06019,Silstrup,10.9
2020-01-02 00:00:00+00:00,06019,Silstrup,9.9
2020-01-02 01:00:00+00:00,06019,Silstrup,9.6
2020-01-02 02:00:00+00:00,06019,Silstrup,9.8
2020-01-02 03:00:00+00:00,06019,Silstrup,9.6
2020-01-02 04:00:00+00:00,06019,Silstrup,10.6
2020-01-02 05:00:00+00:00,06019,Silstrup,10.4
2020-01-02 06:00:00+00:00,06019,Silstrup,10.3
2020-01-02 07:00:00+00:00,06019,Silstrup,10.6
2020-01-02 08:00:00+00:00,06019,Silstrup,11.0
2020-01-02 09:00:00+00:00,06019,Silstrup,10.1
2020-01-02 10:00:00+00:00,06019,Silstrup,9.5
2020-01-02 11:00:00+00:00,06019,Silstrup,9.9
2020-01-02 12:00:00+00:00,06019,Silstrup,10.4
2020-01-02 13:00:00+00:00,06019,Silstrup,10.6
2020-01-02 14:00:00+00:00,06019,Silstrup,11.0
2020-01-02 15:00:00+00:00,06019,Silstrup,11.6
2020-01-02 16:00:00+00:00,06019,Silstrup,11.4
2020-01-02 17:00:00+00:00,06019,Silstrup,12.3
2020-01-02 18:00:00+00:00,06019,Silstrup,12.7
2020-01-02 19:00:00+00:00,06019,Silstrup,12.5
2020-01-02 20:00:00+00:00,06019,Silstrup,12.7
2020-01-02 21:00:00+00:00,06019,Silstrup,12.5
2020-01-02 22:00:00+00:00,06019,Silstrup,12.9
2020-01-02 23:00:00+00:00,06019,Silstrup,12.9
2020-01-03 00:00:00.001000+01:00,06019,Silstrup,9.7
2020-01-03 00:00:00+00:00,06019,Silstrup,12.7
2020-01-03 01:00:00+00:00,06019,Silstrup,11.1
2020-01-03 02:00:00+00:00,06019,Silstrup,11.4
2020-01-03 03:00:00+00:00,06019,Silstrup,11.0
2020-01-03 04:00:00+00:00,06019,Silstrup,10.1
2020-01-03 05:00:00+00:00,06019,Silstrup,10.2
2020-01-03 06:00:00+00:00,06019,Silstrup,9.6
2020-01-03 07:00:00+00:00,06019,Silstrup,6.4
2020-01-03 08:00:00+00:00,06019,Silstrup,6.5
2020-01-03 09:00:00+00:00,06019,Silstrup,6.7
2020-01-03 10:00:00+00:00,06019,Silstrup,7.4
2020-01-03 11:00:00+00:00,06019,Silstrup,7.9
2020-01-03 12:00:00+00:00,06019,Silstrup,8.1
2020-01-03 13:00:00+00:00,06019,Silstrup,6.8
2020-01-03 14:00:00+00:00,06019,Silstrup,7.7
2020-01-03 15:00:00+00:00,06019,Silstrup,7.7
2020-01-03 16:00:00+00:00,06019,Silstrup,8.8
2020-01-03 17:00:00+00:00,06019,Silstrup,9.4
2020-01-03 18:00:00+00:00,06019,Silstrup,10.7
2020-01-03 19:00:00+00:00,06019,Silstrup,11.4
2020-01-03 20:00:00+00:00,06019,Silstrup,11.3
2020-01-03 21:00:00+00:00,06019,Silstrup,13.4
2020-01-03 22:00:00+00:00,06019,Silstrup,14.5
2020-01-03 23:00:00+00:00,06019,Silstrup,14.0
2020-01-04 00:00:00.001000+01:00,06019,Silstrup,8.5
2020-01-04 00:00:00+00:00,06019,Silstrup,13.5
2020-01-04 01:00:00+00:00,06019,Silstrup,13.9
2020-01-04 02:00:00+00:00,06019,Silstrup,13.4
2020-01-04 03:00:00+00:00,06019,Silstrup,9.4
2020-01-04 04:00:00+00:00,06019,Silstrup,7.9
2020-01-04 05:00:00+00:00,06019,Silstrup,8.6
2020-01-04 06:00:00+00:00,06019,Silstrup,8.2
2020-01-04 07:00:00+00:00,06019,Silstrup,10.5
2020-01-04 08:00:00+00:00,06019,Silstrup,10.5
2020-01-04 09:00:00+00:00,06019,Silstrup,11.2
2020-01-04 10:00:00+00:00,06019,Silstrup,11.0
2020-01-04 11:00:00+00:00,06019,Silstrup,9.5
2020-01-04 12:00:00+00:00,06019,Silstrup,9.2
2020-01-04 13:00:00+00:00,06019,Silstrup,8.8
2020-01-04 14:00:00+00:00,06019,Silstrup,7.8
2020-01-04 15:00:00+00:00,06019,Silstrup,7.0
2020-01-04 16:00:00+00:00,06019,Silstrup,5.9
2020-01-04 17:00:00+00:00,06019,Silstrup,5.3
2020-01-04 18:00:00+00:00,06019,Silstrup,4.9
2020-01-04 19:00:00+00:00,06019,Silstrup,4.5
2020-01-04 20:00:00+00:00,06019,Silstrup,3.8
2020-01-04 21:00:00+00:00,06019,Silstrup,3.0
2020-01-04 22:00:00+00:00,06019,Silstrup,2.7
2020-01-04 23:00:00+00:00,06019,Silstrup,3.2
2020-01-05 00:00:00.001000+01:00,06019,Silstrup,6.0
2020-01-05 00:00:00+00:00,06019,Silstrup,3.6
2020-01-05 01:00:00+00:00,06019,Silstrup,2.4
2020-01-05 02:00:00+00:00,06019,Silstrup,2.9
2020-01-05 03:00:00+00:00,06019,Silstrup,3.3
2020-01-05 04:00:00+00:00,06019,Silstrup,2.9
2020-01-05 05:00:00+00:00,06019,Silstrup,2.9
2020-01-05 06:00:00+00:00,06019,Silstrup,3.5
2020-01-05 07:00:00+00:00,06019,Silstrup,3.9
2020-01-05 08:00:00+00:00,06019,Silstrup,4.8
2020-01-05 09:00:00+00:00,06019,Silstrup,5.7
2020-01-05 10:00:00+00:00,06019,Silstrup,6.5
2020-01-05 11:00:00+00:00,06019,Silstrup,7.9
2020-01-05 12:00:00+00:00,06019,Silstrup,8.5
2020-01-05 13:00:00+00:00,06019,Silstrup,8.0
2020-01-05 14:00:00+00:00,06019,Silstrup,8.5
2020-01-05 15:00:00+00:00,06019,Silstrup,8.4
2020-01-05 16:00:00+00:00,06019,Silstrup,7.6
2020-01-05 17:00:00+00:00,06019,Silstrup,7.8
2020-01-05 18:00:00+00:00,06019,Silstrup,8.1
2020-01-05 19:00:00+00:00,06019,Silstrup,8.3
2020-01-05 20:00:00+00:00,06019,Silstrup,8.4
2020-01-05 21:00:00+00:00,06019,Silstrup,8.8
2020-01-05 22:00:00+00:00,06019,Silstrup,7.8
2020-01-05 23:00:00+00:00,06019,Silstrup,7.2
2020-01-06 00:00:00.001000+01:00,06019,Silstrup,6.9
2020-01-06 00:00:00+00:00,06019,Silstrup,7.2
2020-01-06 01:00:00+00:00,06019,Silstrup,7.0
2020-01-06 02:00:00+00:00,06019,Silstrup,6.7
2020-01-06 03:00:00+00:00,06019,Silstrup,6.6
2020-01-06 04:00:00+00:00,06019,Silstrup,7.4
2020-01-06 05:00:00+00:00,06019,Silstrup,6.1
2020-01-06 06:00:00+00:00,06019,Silstrup,5.0
2020-01-06 07:00:00+00:00,06019,Silstrup,5.9
2020-01-06 08:00:00+00:00,06019,Silstrup,5.7
2020-01-06 09:00:00+00:00,06019,Silstrup,5.1
2020-01-06 10:00:00+00:00,06019,Silstrup,6.5
2020-01-06 11:00:00+00:00,06019,Silstrup,7.2
2020-01-06 12:00:00+00:00,06019,Silstrup,7.0
2020-01-06 13:00:00+00:00,06019,Silstrup,7.5
2020-01-06 14:00:00+00:00,06019,Silstrup,7.6
2020-01-06 15:00:00+00:00,06019,Silstrup,7.3
2020-01-06 16:00:00+00:00,06019,Silstrup,7.3
2020-01-06 17:00:00+00:00,06019,Silstrup,6.5
2020-01-06 18:00:00+00:00,06019,Silstrup,6.7
